,header,review,rating,recommend,country,date
50,zero faith british airway,booked flight oct 8 cancel flight day learning get entry visa time flight receive confirmation email say flight canceled cancellation email booking reference number different one requested cancellation ba canceled another person flight sent confirmation email assumed flight canceled 3 week still received refund reached turned flight still getting even ridiculous try reach ba tried multiple different way phone call email none able investigate actually happened authority help cancel flight without paying penalty based experience one read email carefully matter much context put given experienced zero faith british airway, 1,no,United States,2022-10-31
51,whelmed experience,london gibraltar 25th october 2022 booked flight several month ahead travel rather disappointed experience ba attempt nickle dime customer outrageous seat selection price offering small bottle water nutribar breakfast one gain impression ba aim positioned late a320 inflight entertainment route map staff disappeared flight flight punctual felt cheated whelmed experience, 6,no,United Kingdom,2022-10-31
52,abysmal get,generally loyal gold status flyer ba fly route recent flight nairobi abysmal get departed 10 20 continuous delay finally left 4 5 hour late ideal got 8hr flight staff informed u virtually took meal drink service would started completed asap needed get rest hour delayed get away quickly enough basically last saw came around hour landing sincerely hope enjoyed rest pay full fare business class service actually expect service extremely miserable clearly want board still waiting pay compensation awarded u official ombudsman july cancellation flight miami march cancelled 3am 2 30 pm flight, 1,no,United Kingdom,2022-10-30
53,returned full service,great flight suite aircraft really provide maximum comfort british returned full service meal coursed menu hot towel provided etc food quite good choice provided meal service ok prefer person serving rather hodge pudge preference entertainment good connectivity real complaint except minor one tray table seemed far eating closest position actually felt like true business class qatar standard another story, 9,yes,United States,2022-10-30
54,flight quite good,happy say flight quite good except second rate euro business seating everything well done friendly informative cabin crew served good hot breakfast communicative folk nervous heathrow transit well done unfortunately bus gate used upon arrival, 9,yes,United States,2022-10-30
55,attempt provide fresh hot foo,year ago flying ba enjoyable time changed day five hour board plane fun terminal 5 experience still feel classy way felt well staffed efficient board though become experience endured ba mean decision split seat nicer first half plane nastier rest underline entertainment magazine refreshment purchase brought seat ordering app attempt provide fresh hot food day despite competition able much ask trapped board five hour get free tiny bottle water small cereal bar outbound flight crew collected rubbish landing helpfully tied bag around toilet door back case anyone wanted fight way past clear thing recline button deleted seat seat pitch feel squeezed return flight one reason another due ba delay previous day two hour late getting plane late evening passenger travel enough crew cabin crew nonetheless distinctly professional flight altogether would say good thing hard think anything could recommend ba pity used professional company deal pleasure worth looking forward making european journey, 3,no,United Kingdom,2022-10-25
56,positive experience,positive experience ba seat new style club seat comfortable sleep food fine outstanding wi fi good video screen large bright baggage came quickly heathrow experience return flight atlanta would fly ba would probably want make sure new seat, 9,yes,United States,2022-10-24
57,baggage took 3 4 hour delivered,baby across aisle cried nonstop crew yakked galley long flight possibility sleep even rest mentioning crew member colleague talking loudly made difference second meal something inedible way get simple bag crisp nut instead assortment dried something baggage took 3 4 hour delivered priority club even first passenger kept waiting many economy bag delivered a380 great aircraft ba seating still tired old yin yang configuration people stuck middle 3 seat probably anyone expecting business class day, 2,no,United States,2022-10-23
58,cabin crew pleasant helpful,evening flight lhr iad a380 check t5 poor kiosk work well staff called boarding poorly managed ground staff overwhelmed full flight struggling manage passenger gate small insufficient seating big aircraft flight full left 50 minute late pilot kept u informed issue airborne service started quite quickly cabin crew pleasant helpful job professionally efficiently answered call bell promptly nothing much trouble started bar service generous drink came meal service food good ife old clunky sufficient movie tv programme 7 5 hour flight seat comfortable legroom tight uneventful journey would give thumb ground service need attention, 8,yes,Malaysia,2022-10-22
59,rude unhelpful staff,boarded flight edinburgh london connecting flight san francisco 4th october lot america heading back america scotland open golf st andrew woman counter rude actually embarrassed british time shouting snapping people real horrible way flight london san francisco prior 24 hour check spent 150 reserve two seat life time holiday america boarded evident seat sitting broken recliner button working pushed frame arm rest asked flight attendant time anything could done also rude seemed uninterested fact going sit 11 hour flight seat recline eventually got flight state would report fault find multiple seat economy seating area also broken attitude british airway staff absolutely horrendous getting flight decided make complaint british airway bearing mind paid 150 privilege picking seat asked refund cost booking seat prior 24 hour check told refund paid product broken met nothing rude staff telling refund cost booking seat 4 email customer team still refusing also refusing tell whether fault reported prior sitting seat offered 50 ba voucher declined basis picked seat example payed seat prior 24 hour check 50 voucher would ok spent money select seat broken experience ba using rude unhelpful staff chose another carrier future im actually ashamed ba treat people way national airline great britain, 1,no,United Kingdom,2022-10-22
60,cabin crew helping,entering aircraft rushed smooth boarding people struggling cabin luggage finding seat heating high suffocating got faint due heat cabin crew helping thanks helped time called cabin crew ask water took half hour response, 3,no,United Kingdom,2022-10-21
61,ba fine,lhr lax prefer boeing 777 a380 seat seem cramped check easy kiosk bag drop security heathrow t5 whole story security escalator stair elevator escalator get gate seating escalator finally jet bridge plane heathrow many time never t5 anyway cabin crew pleasant drink meal service fine day flight real sleeping passenger moving around flight entertainment system good decent option occupied time several movie nice landing lax ba fine, 7,yes,United States,2022-10-17
62,recommend ba new club class,flew back uk miami new club world suite huge improvement elderly yin yang style club world boarding easy took 1 2 hour late due delayed incoming aircraft made time way back landed time comfortable suite plenty storage bit piece bedding large pillow supplied attentive fa especially anna addressed name however let average catering good short rib beef underwhelming salmon wife sadly poor choice film ife let excellent 17inch touch screen refused pay ba extortionate pre pay book seat fee still got 2 seat together c mon ba pay enough already travel club class recommend ba new club class travel way afford future, 8,yes,United Kingdom,2022-10-17
63,would recommend,flew hand baggage security dubai quick entered lounge bit small good drink offering sound flight a380 left time technical issue ife would really irritating day flight decent snack slept well arrival lounge excellent would recommend, 9,yes,United Kingdom,2022-10-17
64,hit call button response hour,london cairo first 5 hour mid morning flight complimentary food drink tiny bag pretzel small bottle water even southwest generous unable connect phone order food hit fa call button response hour fa came collect garbage show call light gruffly asked matter used phone place order, 1,no,United States,2022-10-16
65,attentive warm friendly,review specifically maddie crew member took care u attentive warm friendly nothing much trouble smiling start finish brand ambassador ba, 10,yes,United States,2022-10-15
66,cramped single aisle aircraft,5 hour cramped single aisle aircraft inflight entertainment economy free catering bottle water packet crisp minimal selection food item purchase, 3,no,United Kingdom,2022-10-14
67,ok experience,dfw lhr easy transfer dfw american airline british airway heading london first ride a380 left feeling plane type ever first choice seated upstairs cabin space seemed roomy seat row cramped passenger front reclined back seat 7 inch face real difficult time trying view seat back entertainment screen seat bad felt squished locked plus side window seat gave nice storage area side ground staff pleasant cabin crew really nice plenty beverage offered multiple water run made night dinner rubbish morning pre landing snack entertainment system responsive pretty good selection movie tv music game ok experience get london time baggage arrived safely sold a380 t5 lhr another story different review mess place, 6,yes,United States,2022-10-06
68,wait case heathrow t5,check jersey straightforward small business class lounge jersey reasonable drink range limited food flight boarded time take delayed due poor visibility lhr captain kept u well informed eventually took 50 min behind schedule 20 minute late arrival heathrow good service cabin crew bacon roll coffee served disappointing wait case heathrow t5 long flight, 7,yes,United Kingdom,2022-10-01
69,cabin crew usually exceptional,check lhr t5 quick queue security short used south lounge supposed quieter time busy difficult group 3 get seated together flight boarded time whilst short flight 35 min service cabin crew outstanding glass champagne coronation chicken salad coffee served smile little banter spite issue ba cabin crew usually exceptional exception flight landed time bag delivered quite promptly, 8,yes,United Kingdom,2022-10-01
70,still found underwhelming,check process smooth got access iga lounge nice nice turkish airline lounge board flight first time flying intra european business class though well prepared still found underwhelming first seat normal economy seat middle seat blocked personal ife basically entertainment 3 hour flight meal service slow time reached half business class cabin one 2 choice ran plus meal good economy meal got turkish airline flight day ago could see staff best since 32 business class passenger single aisle aircraft small galley much could also 32 passenger shared one single wc meaning long line bath room something rarely seen business class arrived lhr get contact gate thing bus either crew announced idea bus would come finally came course delay airport airline since ba main operator heathrow t5 thing affect reputation, 3,no,United States,2022-09-25
